[ 8938.564474] [Goodbye] task_css_set
[ 8980.749050] [Hello] task_css_set 
[ 8980.749054] task name: bioset[372]
[ 8980.749055] Process with the same css_set
[ 8980.749057] name = kdmflush[371]
[ 8980.749058] name = bioset[360]
[ 8980.749059] name = kdmflush[359]
[ 8980.749060] name = kworker/0:1H[297]
[ 8980.749061] name = kworker/u2:4[290]
[ 8980.749062] name = kworker/u2:3[289]
[ 8980.749064] name = scsi_tmf_2[288]
[ 8980.749065] name = scsi_eh_2[287]
[ 8980.749066] name = scsi_tmf_1[286]
[ 8980.749067] name = kworker/u2:2[285]
[ 8980.749068] name = scsi_eh_1[284]
[ 8980.749069] name = scsi_tmf_0[283]
[ 8980.749070] name = scsi_eh_0[281]
[ 8980.749072] name = ata_sff[262]
[ 8980.749073] name = kworker/0:3[95]
[ 8980.749074] name = kauditd[93]
[ 8980.749075] name = kworker/0:2[61]
[ 8980.749076] name = deferwq[60]
[ 8980.749077] name = kpsmoused[41]
[ 8980.749079] name = kmpath_rdacd[40]
[ 8980.749080] name = kworker/u2:1[39]
[ 8980.749081] name = kthrotld[38]
[ 8980.749082] name = crypto[29]
[ 8980.749083] name = fsnotify_mark[28]
[ 8980.749084] name = khugepaged[27]
[ 8980.749085] name = ksmd[26]
[ 8980.749086] name = kswapd0[25]
[ 8980.749087] name = khungtaskd[24]
[ 8980.749088] name = kworker/0:1[22]
[ 8980.749089] name = md[21]
[ 8980.749090] name = khubd[20]
[ 8980.749092] name = kblockd[19]
[ 8980.749093] name = bioset[18]
[ 8980.749094] name = kintegrityd[17]
[ 8980.749095] name = writeback[16]
[ 8980.749096] name = netns[15]
[ 8980.749097] name = kdevtmpfs[14]
[ 8980.749098] name = khelper[13]
[ 8980.749099] name = watchdog/0[12]
[ 8980.749100] name = rcuos/0[11]
[ 8980.749101] name = rcu_sched[10]
[ 8980.749103] name = rcuob/0[9]
[ 8980.749104] name = rcu_bh[8]
[ 8980.749105] name = migration/0[7]
[ 8980.749106] name = kworker/u2:0[6]
[ 8980.749107] name = kworker/0:0H[5]
[ 8980.749108] name = kworker/0:0[4]
[ 8980.749109] name = ksoftirqd/0[3]
[ 8980.749110] name = kthreadd[2]
[ 8980.749111] name = systemd[1]
[ 8980.749112] name = [0]
[ 8980.749114] name = xfsaild/sda1[536]
[ 8980.749115] name = xfs-cil/sda1[534]
[ 8980.749116] name = xfs-conv/sda1[533]
[ 8980.749117] name = xfs-data/sda1[532]
[ 8980.749118] name = xfs-buf/sda1[531]
[ 8980.749119] name = rpciod[484]
[ 8980.749120] name = xfsaild/dm-0[391]
[ 8980.749121] name = xfs-cil/dm-0[390]
[ 8980.749122] name = xfs-conv/dm-0[389]
[ 8980.749123] name = xfs-data/dm-0[388]
[ 8980.749124] name = xfs-buf/dm-0[387]
[ 8980.749125] name = xfs_mru_cache[386]
[ 8980.749126] name = xfsalloc[385]
[ 8983.708536] [Goodbye] task_css_set
